iter	MultiClass
0	-0.4616567834
1	-0.4478509206
2	-0.4436144681
3	-0.4414908497
4	-0.4404159906
5	-0.438923928
6	-0.436989272
7	-0.4361928141
8	-0.4350004057
9	-0.4343218784
10	-0.433507789
11	-0.4328730311
12	-0.4318132466
13	-0.4316346574
14	-0.4313837419
15	-0.4308776792
16	-0.4305176359
17	-0.4302588682
18	-0.4301208552
19	-0.4299415717
20	-0.4295831462
21	-0.429359524
22	-0.4291246496
23	-0.4288643336
24	-0.4283223821
25	-0.4279672924
26	-0.427758933
27	-0.4274798859
28	-0.4272595579
29	-0.4270635138
30	-0.4268702258
31	-0.4267461197
32	-0.4267374496
33	-0.426441061
34	-0.4261993567
35	-0.4260115397
36	-0.4258700399
37	-0.4252794006
38	-0.4251185386
39	-0.4249950657
40	-0.424810615
41	-0.4246695906
42	-0.4245122838
43	-0.4243106535
44	-0.4241150977
45	-0.4239990099
46	-0.4238781929
47	-0.4236847184
48	-0.4235764087
49	-0.4232003686
