iter	Passed	Remaining
0	42	2059
1	86	2065
2	127	1996
3	169	1954
4	210	1892
5	261	1920
6	307	1886
7	350	1841
8	394	1799
9	438	1754
10	485	1722
11	532	1687
12	576	1639
13	618	1590
14	660	1542
15	712	1513
16	756	1469
17	800	1423
18	843	1377
19	886	1329
20	933	1288
21	979	1246
22	1023	1201
23	1062	1151
24	1103	1103
25	1156	1067
26	1212	1032
27	1256	987
28	1301	942
29	1344	896
30	1389	851
31	1433	806
32	1477	761
33	1520	715
34	1565	670
35	1614	627
36	1656	581
37	1700	536
38	1742	491
39	1786	446
40	1835	402
41	1882	358
42	1926	313
43	1969	268
44	2014	223
45	2062	179
46	2104	134
47	2149	89
48	2192	44
49	2235	0
